district,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,Bachelor's Degree or Higher,White BA (Bachelor's Degree or Higher Among Whites Only),Median Income
FL-01,28.2,67.5,30.1,68.5,32,66.8,32.9,67.1,30.9,69.1,23.4,70.1,77,12.9,4.8,2.3,0.5,2.6,77.6,12.5,4.5,2.7,0.8,2,90.8,27.8,30.2,55779.00
FL-02,30.6,66.2,34,64.6,35.2,63.4,32.6,67.4,29.9,67.3,Redrawn,,79.5,12.7,4.7,1.2,0.4,1.4,79.7,12.2,4.8,1.5,0.5,1.3,87.2,23.5,24.5,48717.00
FL-03,40.2,56.2,41.9,56.6,44.2,54.6,42.4,57.6,39.8,56.6,Redrawn,,72.5,15.3,7.9,2.4,0.3,1.6,72.8,14.8,7.4,3.3,0.3,1.4,88.7,27.1,27.9,49527.00
FL-04,34.1,62.1,32.8,66.1,34.8,64.2,32.4,65.2,27.6,70.2,Redrawn,,79.4,8.9,6.4,3.4,0.2,1.7,79,9,6.2,4,0.3,1.5,93.4,39.6,40.3,70059.00
FL-05,61.3,35.9,63.6,35.4,63.2,35.9,66.8,33.2,64.2,35.8,Redrawn,,44.6,45.8,5.7,2,0.3,1.6,46.7,43.1,6,2.4,0.3,1.4,85.3,20.2,23.2,41255.00
FL-06,39.9,56.9,46.6,52.2,50.1,48.7,43.7,56.3,41.4,58.6,Redrawn,,78,9.5,9.9,1.4,0.3,0.9,79.5,8.9,8.8,1.5,0.3,1.1,90.2,23.8,24.8,48810.00
FL-07,51.4,44.1,49.4,49.4,51.1,48,57.7,42.3,51.5,48.5,Redrawn,,63.4,9.6,21.8,3.5,0.1,1.5,66.8,8.9,18.7,3.9,0.2,1.5,93.1,39,43.8,60137.00
FL-08,37.7,58.4,42.1,56.6,43.8,54.9,39.5,60.5,32.5,63.1,34.1,65.8,80,8.4,8.2,1.7,0.3,1.4,80.4,8.3,7.7,2,0.3,1.3,91.2,29,30.3,53969.00
FL-09,54.8,41.9,55.6,43.4,54.6,44.5,58,42,57.5,42.5,Redrawn,,49,11.3,35.7,2.6,0.2,1.2,52.4,10.7,32.2,3,0.2,1.5,86,23.6,26.9,51094.00
FL-10,61.8,34.9,60.7,38.4,60.9,38.5,100,0,64.9,35.1,Redrawn,,43.6,26.3,23.6,4.9,0.1,1.6,44.1,25,23,5.4,0.2,2.3,87.3,30.8,39.9,52843.00
FL-11,32.5,64.8,39.8,59.2,42.6,56.1,34.8,65.1,31.6,65.4,Redrawn,,83.3,6.2,8.1,1,0.3,1,84.4,6,7.3,1.1,0.3,0.9,88.7,20.6,21.5,46297.00
FL-12,38.8,57.4,45.5,53,47.4,51.2,39.7,58.1,31.4,68.6,Redrawn,,82.5,4.2,10,2,0.3,1.1,84.7,3.3,8.5,2.1,0.2,1.1,90.5,27.5,27.1,52568.00
FL-13,49.6,46.4,54.6,43.9,55.5,43,57.6,42.4,51.9,48.1,Redrawn,,77.3,11.2,7.1,2.8,0.3,1.3,77.7,10.6,7.1,3,0.3,1.3,90.4,29.7,31.6,50319.00
FL-14,57.2,39,57.6,41.2,58.1,40.9,100,0,61.8,38.2,Redrawn,,53.3,17.2,24.3,3.4,0.2,1.7,52.1,16.4,25.8,3.9,0.2,1.6,88.5,35.8,46.2,53306.00
FL-15,43.1,53.1,46.6,52.2,46.7,52.1,47,53,42.5,57.5,Redrawn,,65.5,13.5,17,2.4,0.3,1.4,67.3,12.3,16.1,2.6,0.3,1.4,87.8,25.2,26.6,54333.00
FL-16,43,53.7,45.1,53.7,47.7,51.2,45.4,54.6,40.2,59.8,Redrawn,,79.3,7.4,10.4,1.7,0.2,1,78.2,6.6,12.3,1.7,0.2,0.9,90,32.3,35.3,59440.00
FL-17,35,62.2,41.3,57.6,43.9,54.7,37.7,62.3,34.2,61.8,Redrawn,,81.4,6.5,9.8,1,0.3,1,80.1,6.3,11.4,1.1,0.3,0.8,87,21.5,23.3,48734.00
FL-18,44.1,53.3,47.7,51.4,51.2,47.9,45.7,54.3,43.1,53.6,Redrawn,,75.3,10.9,11,1.7,0.2,0.9,74.2,10.5,12.2,1.8,0.2,1.1,89.6,31.1,34.5,58721.00
FL-19,37.5,59.6,38.7,60.5,42.3,56.8,37.7,62.3,34.1,65.9,32.7,64.6,80.1,5.8,11.9,1.4,0.2,0.7,77.2,5.7,14.8,1.3,0.2,0.9,89.1,32.5,37.2,57611.00
FL-20,80.2,18.1,82.5,17.1,80.9,18.6,99.9,0,80.3,19.7,Redrawn,,23.9,51.6,20.3,2.6,0.1,1.4,25.2,47.5,22.6,2.6,0.2,1.9,82.1,21,27.7,46252.00
FL-21,58.6,39.1,60.4,38.9,63.4,35.9,100,0,62.7,35.1,Redrawn,,68.1,12.3,16.2,2.3,0.1,1,66.8,11.7,17.8,2.3,0.1,1.2,87.9,35,41.5,58430.00
FL-22,56.8,41,56.3,43,58.3,41,62,38,58.9,41.1,Redrawn,,67.2,12.3,16.5,2.6,0.2,1.2,67.5,11.2,16.6,2.8,0.1,1.8,91.4,39,44.5,62550.00
FL-23,61.9,35.8,61.4,38,62,37.3,58.5,36,56.7,40.5,Redrawn,,47.7,13.3,33.8,3.7,0.3,1.3,51.1,11.6,31.9,3.6,0.2,1.6,92.3,39.4,41.5,64827.00
FL-24,82.9,15.4,85.7,13.9,84,15.6,100,0,100,0,Redrawn,,14.1,49.8,34.1,1.3,0.1,0.6,13.9,45.9,36.9,1.5,0.1,1.5,78.5,20.1,37.8,39943.00
FL-25,47.9,49.7,44.9,54.5,40.6,58.8,39.5,60.5,37.6,62.4,Redrawn,,26.3,3.9,68.3,1,0.2,0.3,20,3.6,74.9,1,0.1,0.4,78.2,24.3,36.1,49970.00
FL-26,56.8,40.5,55.4,43.9,51.5,47.9,50.9,49.1,41.2,53,Redrawn,,20.5,11.1,66,1.7,0.1,0.6,18.9,10,68.3,1.7,0.1,1,82.4,26.4,35.2,56696.00
FL-27,58.5,38.9,53,46.3,50.1,49.3,51.8,45.8,45.1,54.9,Redrawn,,25.4,4.9,67.2,1.8,0.1,0.6,24,4,69.1,1.9,0.1,0.9,85.6,39.4,63.7,55451.00
GA-01,40.9,56.4,43,55.9,44.4,55,42.3,57.7,0,100,39.1,60.9,63.4,29.3,4.1,1.4,0.3,1.4,63.7,28.1,4.9,1.8,0.3,1.3,87.8,25.5,29.4,51484.00
GA-02,55,43.3,58.6,40.8,57.9,41.6,59.6,40.4,61.2,38.8,59.2,40.8,43.8,51.3,2.7,1,0.2,1.1,45,48.6,4,1.1,0.3,0.9,82.1,17.8,23,38051.00
GA-03,32.8,64.3,33,65.9,34,65.3,34.5,65.5,31.7,68.3,0,100,69.7,24,3.4,1.3,0.2,1.3,71,21.7,4.3,1.6,0.3,1,87.1,26.5,28.6,57657.00
GA-04,75.3,22.2,73.6,25.6,73.2,26.3,78.8,21.2,75.7,24.3,100,0,28.9,62.3,3.9,3.3,0.2,1.4,31.1,54.7,8,4.5,0.2,1.5,87.6,31.1,39.7,54824.00
